№,Секунда,Микросекунда
1,27,802111
2,27,802118
3,27,802121
4,27,802123
5,27,802126
6,27,802128
7,27,802130
8,27,802132
9,27,802134
10,27,802135
11,27,802138
12,27,802140
13,27,802142
14,27,802144
15,27,802146
16,27,802148
17,27,802150
18,27,802152
19,27,802154
20,27,802156
21,27,802158
22,27,802160
23,27,802162
24,27,802163
25,27,802165
26,27,802167
27,27,802170
28,27,802172
29,27,802174
30,27,802175
31,27,802177
32,27,802179
33,27,802181
34,27,802183
35,27,802185
36,27,802187
37,27,802189
38,27,802191
39,27,802193
40,27,802195
41,27,802197
42,27,802199
43,27,802201
44,27,802203
45,27,802204
46,27,802206
47,27,802208
48,27,802210
49,27,802212
50,27,802214
51,27,802216
52,27,802218
53,27,802220
54,27,802222
55,27,802224
56,27,802228
57,27,802230
58,27,802232
59,27,802234
60,27,802236
61,27,802238
62,27,802239
63,27,802241
64,27,802243
65,27,802247
66,27,802249
67,27,802251
68,27,802253
69,27,802255
70,27,802257
71,27,802259
72,27,802261
73,27,802263
74,27,802265
75,27,802267
76,27,802268
77,27,802271
78,27,802273
79,27,802275
80,27,802277
81,27,802279
82,27,802281
83,27,802283
84,27,802285
85,27,802287
86,27,802289
87,27,802291
88,27,802293
89,27,802295
90,27,802297
91,27,802299
92,27,802300
93,27,802303
94,27,802305
95,27,802307
96,27,802309
97,27,802311
98,27,802313
99,27,802314
100,27,802316
101,27,802318
102,27,802320
103,27,802323
104,27,802325
105,27,802327
106,27,802329
107,27,802331
108,27,802332
109,27,802335
110,27,802337
111,27,802339
112,27,802341
113,27,802343
114,27,802345
115,27,802347
116,27,802349
117,27,802351
118,27,802353
119,27,802355
120,27,802358
121,27,802360
122,27,802362
123,27,802364
124,27,802366
125,27,802368
126,27,802370
127,27,802372
128,27,802374
129,27,802377
130,27,802379
131,27,802381
132,27,802383
133,27,802385
134,27,802387
135,27,802389
136,27,802390
137,27,802392
138,27,802394
139,27,802396
140,27,802398
141,27,802400
142,27,802402
143,27,802404
144,27,802406
145,27,802408
146,27,802410
147,27,802412
148,27,802414
149,27,802416
150,27,802418
151,27,802420
152,27,802422
153,27,802424
154,27,802426
155,27,802428
156,27,802430
157,27,802432
158,27,802434
159,27,802436
160,27,802438
161,27,802440
162,27,802442
163,27,802444
164,27,802446
165,27,802448
166,27,802450
167,27,802451
168,27,802453
169,27,802455
170,27,802457
171,27,802459
172,27,802461
173,27,802464
174,27,802466
175,27,802467
176,27,802469
177,27,802471
178,27,802473
179,27,802475
180,27,802477
181,27,802479
182,27,802481
183,27,802483
184,27,802486
185,27,802488
186,27,802490
187,27,802492
188,27,802494
189,27,802496
190,27,802498
191,27,802500
192,27,802502
193,27,802504
194,27,802506
195,27,802508
196,27,802510
197,27,802512
198,27,802514
199,27,802516
200,27,802518
201,27,802520
202,27,802522
203,27,802524
204,27,802526
205,27,802528
206,27,802530
207,27,802532
208,27,802534
209,27,802536
210,27,802538
211,27,802539
212,27,802541
213,27,802543
214,27,802545
215,27,802547
216,27,802549
217,27,802551
218,27,802553
219,27,802555
220,27,802557
221,27,802559
222,27,802561
223,27,802563
224,27,802565
225,27,802567
226,27,802569
227,27,802570
228,27,802572
229,27,802574
230,27,802576
231,27,802578
232,27,802580
233,27,802582
234,27,802584
235,27,802586
236,27,802588
237,27,802590
238,27,802592
239,27,802594
240,27,802596
241,27,802598
242,27,802600
243,27,802602
244,27,802604
245,27,802606
246,27,802608
247,27,802612
248,27,802614
249,27,802616
250,27,802618
251,27,802620
252,27,802622
253,27,802624
254,27,802626
255,27,802627
256,27,802629
257,27,802631
258,27,802634
259,27,802636
260,27,802638
261,27,802640
262,27,802642
263,27,802644
264,27,802646
265,27,802648
266,27,802650
267,27,802652
268,27,802654
269,27,802657
270,27,802659
271,27,802661
272,27,802663
273,27,802665
274,27,802667
275,27,802669
276,27,802671
277,27,802672
278,27,802674
279,27,802676
280,27,802678
281,27,802680
282,27,802682
283,27,802684
284,27,802686
285,27,802688
286,27,802690
287,27,802692
288,27,802694
289,27,802696
290,27,802698
291,27,802700
292,27,802702
293,27,802704
294,27,802706
295,27,802708
296,27,802710
297,27,802712
298,27,802714
299,27,802716
300,27,802718
